dma_name,dma_id,term,week,score,rank,percent_gain,refresh_date
Albany GA,525,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Dothan AL,606,argentina vs peru,2021-02-07,100,24,140,2024-11-22
Dothan AL,606,argentina vs peru,2024-11-17,10,24,140,2024-11-22
Laredo TX,749,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Atlanta GA,524,argentina vs peru,2024-10-13,11,24,140,2024-11-22
Atlanta GA,524,argentina vs peru,2021-10-10,21,24,140,2024-11-22
Atlanta GA,524,argentina vs peru,2024-11-17,52,24,140,2024-11-22
Atlanta GA,524,argentina vs peru,2020-11-15,13,24,140,2024-11-22
Atlanta GA,524,argentina vs peru,2024-11-10,1,24,140,2024-11-22
Buffalo NY,514,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Mankato MN,737,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Spokane WA,881,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Amarillo TX,634,argentina vs peru,2020-12-06,94,24,140,2024-11-22
Columbia SC,546,argentina vs peru,2022-03-13,77,24,140,2024-11-22
Glendive MT,798,argentina vs peru,2020-04-12,68,24,140,2024-11-22
Glendive MT,798,argentina vs peru,2023-01-01,100,24,140,2024-11-22
Portland OR,820,argentina vs peru,2023-10-15,55,24,140,2024-11-22
Portland OR,820,argentina vs peru,2021-10-10,58,24,140,2024-11-22
Syracuse NY,555,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Baltimore MD,512,argentina vs peru,2024-06-23,30,24,140,2024-11-22
Baltimore MD,512,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Baltimore MD,512,argentina vs peru,2024-11-17,59,24,140,2024-11-22
Charlotte NC,517,argentina vs peru,2024-10-27,32,24,140,2024-11-22
Knoxville TN,557,argentina vs peru,2021-02-21,100,24,140,2024-11-22
Knoxville TN,557,argentina vs peru,2024-06-09,98,24,140,2024-11-22
Las Vegas NV,839,argentina vs peru,2023-10-15,49,24,140,2024-11-22
Las Vegas NV,839,argentina vs peru,2024-06-23,44,24,140,2024-11-22
Las Vegas NV,839,argentina vs peru,2020-11-15,29,24,140,2024-11-22
Marquette MI,553,argentina vs peru,2023-01-01,100,24,140,2024-11-22
St. Louis MO,609,argentina vs peru,2023-09-17,100,24,140,2024-11-22
Pittsburgh PA,508,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Rapid City SD,764,argentina vs peru,2022-02-27,71,24,140,2024-11-22
Chattanooga TN,575,argentina vs peru,2023-06-25,100,24,140,2024-11-22
Chattanooga TN,575,argentina vs peru,2024-11-17,40,24,140,2024-11-22
Kansas City MO,616,argentina vs peru,2022-06-19,89,24,140,2024-11-22
Kansas City MO,616,argentina vs peru,2020-11-22,98,24,140,2024-11-22
Kansas City MO,616,argentina vs peru,2024-11-17,96,24,140,2024-11-22
Kansas City MO,616,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Panama City FL,656,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Sherman-Ada OK,657,argentina vs peru,2023-01-01,34,24,140,2024-11-22
Sherman-Ada OK,657,argentina vs peru,2021-01-03,100,24,140,2024-11-22
Sherman-Ada OK,657,argentina vs peru,2024-11-17,3,24,140,2024-11-22
Lake Charles LA,643,argentina vs peru,2022-10-02,100,24,140,2024-11-22
Palm Springs CA,804,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Philadelphia PA,504,argentina vs peru,2020-11-15,16,24,140,2024-11-22
Philadelphia PA,504,argentina vs peru,2021-01-17,12,24,140,2024-11-22
Philadelphia PA,504,argentina vs peru,2021-10-10,23,24,140,2024-11-22
Philadelphia PA,504,argentina vs peru,2023-10-15,52,24,140,2024-11-22
Philadelphia PA,504,argentina vs peru,2024-11-17,63,24,140,2024-11-22
Butte-Bozeman MT,754,argentina vs peru,2021-11-07,100,24,140,2024-11-22
Butte-Bozeman MT,754,argentina vs peru,2024-09-01,65,24,140,2024-11-22
Oklahoma City OK,650,argentina vs peru,2024-06-02,85,24,140,2024-11-22
Odessa-Midland TX,633,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Seattle-Tacoma WA,819,argentina vs peru,2021-10-10,36,24,140,2024-11-22
Seattle-Tacoma WA,819,argentina vs peru,2022-01-30,36,24,140,2024-11-22
Seattle-Tacoma WA,819,argentina vs peru,2023-10-15,72,24,140,2024-11-22
Seattle-Tacoma WA,819,argentina vs peru,2024-06-23,34,24,140,2024-11-22
Portland-Auburn ME,500,argentina vs peru,2022-05-08,90,24,140,2024-11-22
Portland-Auburn ME,500,argentina vs peru,2020-04-05,100,24,140,2024-11-22
Ft. Myers-Naples FL,571,argentina vs peru,2023-10-15,66,24,140,2024-11-22
Fargo-Valley City ND,724,argentina vs peru,2024-07-07,100,24,140,2024-11-22
Fargo-Valley City ND,724,argentina vs peru,2024-11-17,6,24,140,2024-11-22
Waco-Temple-Bryan TX,625,argentina vs peru,2024-04-21,100,24,140,2024-11-22
Yuma AZ-El Centro CA,771,argentina vs peru,2022-12-04,100,24,140,2024-11-22
Wausau-Rhinelander WI,705,argentina vs peru,2023-10-08,100,24,140,2024-11-22
Richmond-Petersburg VA,556,argentina vs peru,2022-07-10,84,24,140,2024-11-22
Richmond-Petersburg VA,556,argentina vs peru,2024-11-17,59,24,140,2024-11-22
Springfield-Holyoke MA,543,argentina vs peru,2020-12-13,100,24,140,2024-11-22
Albuquerque-Santa Fe NM,790,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Boston MA-Manchester NH,506,argentina vs peru,2020-05-10,13,24,140,2024-11-22
Boston MA-Manchester NH,506,argentina vs peru,2021-10-10,34,24,140,2024-11-22
Boston MA-Manchester NH,506,argentina vs peru,2024-06-23,26,24,140,2024-11-22
Boston MA-Manchester NH,506,argentina vs peru,2023-10-15,43,24,140,2024-11-22
Boston MA-Manchester NH,506,argentina vs peru,2020-11-15,19,24,140,2024-11-22
La Crosse-Eau Claire WI,702,argentina vs peru,2023-01-22,59,24,140,2024-11-22
La Crosse-Eau Claire WI,702,argentina vs peru,2024-11-17,5,24,140,2024-11-22
Miami-Ft. Lauderdale FL,528,argentina vs peru,2021-10-10,22,24,140,2024-11-22
Miami-Ft. Lauderdale FL,528,argentina vs peru,2023-01-15,3,24,140,2024-11-22
Miami-Ft. Lauderdale FL,528,argentina vs peru,2021-07-04,4,24,140,2024-11-22
Wilkes Barre-Scranton PA,577,argentina vs peru,2024-11-17,39,24,140,2024-11-22
Providence-New Bedford MA,521,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Grand Junction-Montrose CO,773,argentina vs peru,2023-08-13,100,24,140,2024-11-22
Burlington VT-Plattsburgh NY,523,argentina vs peru,2024-11-17,27,24,140,2024-11-22
Columbus-Tupelo-West Point MS,673,argentina vs peru,2024-11-17,9,24,140,2024-11-22
Tallahassee FL-Thomasville GA,530,argentina vs peru,2024-11-17,33,24,140,2024-11-22
Huntsville-Decatur (Florence) AL,691,argentina vs peru,2022-11-06,100,24,140,2024-11-22
Greenville-New Bern-Washington NC,545,argentina vs peru,2024-11-17,21,24,140,2024-11-22
Greenville-New Bern-Washington NC,545,argentina vs peru,2021-07-25,100,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2024-11-10,1,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2021-10-10,39,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2023-10-15,53,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2020-11-15,16,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2024-11-17,51,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2024-06-23,32,24,140,2024-11-22
Johnstown-Altoona-State College PA,574,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Orlando-Daytona Beach-Melbourne FL,534,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Orlando-Daytona Beach-Melbourne FL,534,argentina vs peru,2024-11-10,1,24,140,2024-11-22
Orlando-Daytona Beach-Melbourne FL,534,argentina vs peru,2024-06-23,46,24,140,2024-11-22
